Kolom1	Seed	Label	Search pattern	Search radius	Max_current	Upper current	Profile	Zwemvaardgheid	Windrichting	Windsnelheid	Uitruktijd	Stamina begin	Overgebleven conditie	Vind tijd	Locatie begin	Locatie eind	Gevonden	Actieduur			scenario	sec	min	scec		aandeel	
1199	10110	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5221	4109	556	(27, 12)	(32, 14)	True	256									
1210	10111	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4688	3548	570	(22, 9)	(28, 11)	True	270									
1221	10112	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3893	2747	573	(18, 10)	(24, 12)	True	273									
1232	10113	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5243	4175	534	(36, 9)	(42, 12)	True	234									
1243	10114	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3491	2323	584	(16, 13)	(22, 15)	True	284									
1254	10115	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3163	2403	380	(33, 7)	(39, 8)	True	80									
1265	10116	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3474	2692	391	(41, 5)	(47, 6)	True	91									
1276	10117	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3871	2765	553	(28, 8)	(34, 10)	True	253									
1287	10118	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4598	3880	359	(25, 7)	(31, 8)	True	59									
1298	10119	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5033	3997	518	(42, 12)	(48, 14)	True	218									
1309	10120	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4114	3084	515	(44, 12)	(49, 14)	True	215									
1320	10121	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3411	2329	541	(34, 14)	(40, 16)	True	241									
1331	10122	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4346	3294	526	(40, 7)	(46, 9)	True	226									
1342	10123	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2710	1582	564	(26, 14)	(32, 17)	True	264									
1353	10124	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3496	2340	578	(18, 8)	(23, 11)	True	278									
1364	10125	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4718	4004	357	(25, 7)	(30, 8)	True	57									
1375	10126	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2600	1424	588	(24, 10)	(30, 13)	True	288									
1386	10127	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3293	2161	566	(22, 12)	(28, 14)	True	266									
1397	10128	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3165	2073	546	(32, 14)	(38, 16)	True	246									
1408	10129	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4154	3006	574	(36, 14)	(42, 16)	True	274									
1419	10130	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4979	4183	398	(43, 5)	(49, 6)	True	98									
1430	10131	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4066	3008	529	(40, 13)	(46, 15)	True	229									
1441	10132	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5126	4100	513	(44, 11)	(50, 13)	True	213									
1452	10133	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4349	3319	515	(44, 14)	(50, 16)	True	215									
1463	10134	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2434	1298	568	(20, 11)	(26, 13)	True	268									
1474	10135	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4054	2940	557	(26, 9)	(32, 11)	True	257									
1485	10136	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3209	2139	535	(35, 11)	(40, 13)	True	235									
1496	10137	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3851	2731	560	(25, 13)	(31, 15)	True	260									
1507	10138	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3354	2256	549	(28, 11)	(34, 13)	True	249									
1518	10139	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5255	4569	343	(19, 7)	(25, 8)	True	43									
1529	10140	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5186	4080	553	(29, 14)	(35, 16)	True	253									
1540	10141	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4539	3427	556	(25, 11)	(31, 13)	True	256									
1551	10142	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3795	2761	517	(44, 13)	(50, 15)	True	217									
1562	10143	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2480	1240	620	(15, 12)	(21, 15)	True	320									
1573	10144	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3649	2549	550	(29, 12)	(35, 14)	True	250									
1584	10145	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5281	4243	519	(41, 10)	(47, 12)	True	219									
1595	10146	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3599	2839	380	(32, 7)	(38, 8)	True	80									
1606	10147	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3393	2349	522	(41, 10)	(47, 12)	True	222									
1617	10148	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3573	2843	365	(24, 7)	(30, 8)	True	65									
1628	10149	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2890	1766	562	(24, 11)	(30, 13)	True	262									
1639	10150	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5038	4300	369	(28, 7)	(34, 8)	True	69									
1650	10151	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3012	1874	569	(22, 14)	(28, 16)	True	269									
1661	10152	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4635	3471	582	(15, 8)	(21, 10)	True	282									
1672	10153	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4779	3609	585	(16, 14)	(21, 16)	True	285									
1683	10154	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2720	1608	556	(25, 11)	(31, 13)	True	256									
1694	10155	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2470	1420	525	(42, 13)	(48, 15)	True	225									
1705	10156	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4178	3122	528	(37, 11)	(43, 13)	True	228									
1716	10157	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5009	3887	561	(23, 10)	(29, 12)	True	261									
1727	10158	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4650	3446	602	(17, 14)	(22, 16)	True	302									
1738	10159	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3745	2967	389	(40, 5)	(46, 6)	True	89									
1749	10160	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3194	2090	552	(28, 12)	(34, 14)	True	252									
1760	10161	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5030	3998	516	(44, 9)	(49, 11)	True	216									
1771	10162	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4393	3277	558	(27, 14)	(33, 16)	True	258									
1782	10163	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2463	1375	544	(32, 13)	(38, 15)	True	244									
1793	10164	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5333	4165	584	(16, 14)	(22, 17)	True	284									
1804	10165	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2702	1990	356	(24, 6)	(30, 7)	True	56									
1815	10166	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2964	1934	515	(44, 10)	(50, 12)	True	215									
1826	10167	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2695	1625	535	(38, 13)	(44, 15)	True	235									
1837	10168	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4491	3383	554	(29, 14)	(35, 16)	True	254									
1848	10169	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4268	3190	539	(34, 13)	(40, 15)	True	239									
1859	10170	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4564	3530	517	(42, 9)	(48, 11)	True	217									
1870	10171	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4176	3044	566	(23, 8)	(28, 10)	True	266									
1881	10172	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2510	1798	356	(26, 5)	(32, 6)	True	56									
1892	10173	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3460	2344	558	(26, 13)	(32, 15)	True	258									
1903	10174	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3452	2294	579	(16, 9)	(22, 11)	True	279									
1914	10175	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4037	2903	567	(22, 8)	(28, 10)	True	267									
1925	10176	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3558	2790	384	(30, 6)	(36, 7)	True	84									
1936	10177	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2745	1647	549	(31, 14)	(37, 16)	True	249									
1947	10178	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5296	4136	580	(16, 9)	(21, 11)	True	280									
1958	10179	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2465	1781	342	(20, 5)	(25, 6)	True	42									
1969	10180	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4822	4032	395	(40, 6)	(46, 8)	True	95									
1980	10181	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3020	1874	573	(21, 13)	(26, 15)	True	273									
1991	10182	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5094	4376	359	(25, 6)	(31, 7)	True	59									
2002	10183	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2760	1976	392	(39, 6)	(45, 7)	True	92									
2013	10184	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3977	2905	536	(35, 13)	(41, 15)	True	236									
2024	10185	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4766	3974	396	(42, 6)	(48, 7)	True	96									
2035	10186	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5067	3949	559	(24, 9)	(30, 11)	True	259									
2046	10187	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3414	2382	516	(44, 12)	(49, 14)	True	216									
